Number,Year,Title,Genre,Rated,Type,imdbRating,Runtime,Director,Writer,Actors,Language,Country,Awards,imdbVotes,imdbID,NetflixRating
6134,2004.0,Collateral,"Crime, Drama, Thriller",R,movie,7.6,120 min,Michael Mann,Stuart Beattie,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo","English, Spanish",USA,Nominated for 2 Oscars. Another 22 wins & 64 nominations.,"297,050",tt0369339,4.0
6206,2002.0,My Big Fat Greek Wedding,"Comedy, Family, Romance",PG,movie,6.6,95 min,Joel Zwick,Nia Vardalos,"Nia Vardalos, Michael Constantine, Christina Eleusiniotis, Kaylee Vieira","English, Greek","USA, Canada",Nominated for 1 Oscar. Another 20 wins & 27 nominations.,"103,163",tt0259446,3.0
6235,2002.0,A Walk to Remember,"Drama, Romance",PG,movie,7.4,101 min,Adam Shankman,"Nicholas Sparks (novel), Karen Janszen (screenplay)","Shane West, Mandy Moore, Peter Coyote, Daryl Hannah",English,USA,4 wins & 2 nominations.,"164,157",tt0281358,5.0
6343,2001.0,Joe Somebody,"Comedy, Drama",PG,movie,5.5,98 min,John Pasquin,John Scott Shepherd,"Tim Allen, Julie Bowen, Kelly Lynch, Greg Germann",English,USA,1 nomination.,"8,504",tt0279889,3.0
6347,2000.0,Big Momma's House,"Action, Comedy, Crime",PG-13,movie,5.1,99 min,Raja Gosnell,"Darryl Quarles (story), Darryl Quarles (screenplay), Don Rhymer (screenplay)","Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",English,"USA, Germany",1 win & 8 nominations.,"67,316",tt0208003,2.0
6450,2002.0,City of God,"Crime, Drama",R,movie,8.7,130 min,"Fernando Meirelles, Kátia Lund","Paulo Lins (novel), Bráulio Mantovani (screenplay)","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva",Portuguese,"Brazil, France",Nominated for 4 Oscars. Another 65 wins & 37 nominations.,"540,033",tt0317248,3.0
6464,2002.0,Unfaithful,"Drama, Thriller",R,movie,6.7,124 min,Adrian Lyne,"Claude Chabrol (film ""La Femme infidèle""), Alvin Sargent (screenplay), William Broyles Jr. (screenplay)","Diane Lane, Erik Per Sullivan, Richard Gere, Olivier Martinez","English, French","USA, Germany, France",Nominated for 1 Oscar. Another 3 wins & 13 nominations.,"63,448",tt0250797,5.0
6497,2002.0,Murder By Numbers,"Crime, Mystery, Thriller",R,movie,6.1,115 min,Barbet Schroeder,Tony Gayton,"Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt",English,USA,2 nominations.,"43,909",tt0264935,4.0
6555,2002.0,Insomnia,"Drama, Mystery, Thriller",R,movie,7.2,118 min,Christopher Nolan,"Hillary Seitz (screenplay), Nikolaj Frobenius, Erik Skjoldbjærg","Al Pacino, Martin Donovan, Oliver 'Ole' Zemen, Hilary Swank",English,"USA, Canada",1 win & 10 nominations.,"220,877",tt0278504,3.0
6631,2005.0,Be Cool,"Comedy, Crime, Music",PG-13,movie,5.7,118 min,F. Gary Gray,"Elmore Leonard (novel), Peter Steinfeld (screenplay)","John Travolta, Uma Thurman, Vince Vaughn, Cedric the Entertainer","English, Russian",USA,1 win & 13 nominations.,"59,686",tt0377471,3.0
6829,2002.0,High Crimes,"Crime, Drama, Mystery",PG-13,movie,6.3,115 min,Carl Franklin,"Joseph Finder (novel), Yuri Zeltser (screenplay), Grace Cary Bickley (screenplay)","Ashley Judd, Morgan Freeman, Jim Caviezel, Adam Scott","English, Spanish",USA,2 nominations.,"30,231",tt0257756,4.0
6844,2001.0,The Fast and the Furious,"Action, Crime, Thriller",PG-13,movie,6.7,106 min,Rob Cohen,"Ken Li (magazine article ""Racer X""), Gary Scott Thompson (screen story), Gary Scott Thompson (screenplay), Erik Bergquist (screenplay), David Ayer (screenplay)","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster",English,"USA, Germany",9 wins & 12 nominations.,"274,783",tt0232500,5.0
6859,2003.0,Cheaper by the Dozen,"Comedy, Family",PG,movie,5.8,98 min,Shawn Levy,"Frank B. Gilbreth Jr. (novel), Ernestine Gilbreth Carey (novel), Craig Titley (screen story), Sam Harper (screenplay), Joel Cohen (screenplay), Alec Sokolow (screenplay)","Steve Martin, Bonnie Hunt, Piper Perabo, Tom Welling",English,USA,2 wins & 7 nominations.,"75,914",tt0349205,4.0
6983,2004.0,Connie and Carla,"Comedy, Crime, Music",PG-13,movie,6.3,98 min,Michael Lembeck,Nia Vardalos,"Nia Vardalos, Toni Collette, David Duchovny, Stephen Spinella",English,USA,1 win.,"6,902",tt0345074,3.0
7032,2002.0,Austin Powers in Goldmember,"Action, Comedy, Crime",PG-13,movie,6.2,94 min,Jay Roach,"Mike Myers, Michael McCullers, Mike Myers (characters created by)","Mike Myers, Beyoncé Knowles, Seth Green, Michael York","English, Japanese, German, French",USA,5 wins & 21 nominations.,"164,133",tt0295178,3.0
7048,2003.0,Agent Cody Banks,"Action, Adventure, Comedy",PG,movie,5.0,102 min,Harald Zwart,"Ashley Miller (screenplay), Zack Stentz (screenplay), Scott Alexander (screenplay), Larry Karaszewski (screenplay), Jeffrey Jurgensen (story)","Frankie Muniz, Hilary Duff, Angie Harmon, Keith David",English,"USA, Canada",4 nominations.,"27,009",tt0313911,3.0
7281,2001.0,Monster's Ball,"Drama, Romance",R,movie,7.1,111 min,Marc Forster,"Milo Addica, Will Rokos","Billy Bob Thornton, Taylor Simpson, Gabrielle Witcher, Heath Ledger",English,USA,Won 1 Oscar. Another 14 wins & 22 nominations.,"71,850",tt0285742,4.0
7544,2002.0,Orange County,"Comedy, Drama",PG-13,movie,6.2,82 min,Jake Kasdan,Mike White,"Colin Hanks, Jack Black, Schuyler Fisk, Bret Harrison","English, Spanish",USA,3 nominations.,"41,705",tt0273923,2.0
7635,2004.0,Anchorman: The Legend of Ron Burgundy,Comedy,PG-13,movie,7.2,94 min,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell","English, French, Spanish",USA,1 win & 11 nominations.,"271,059",tt0357413,3.0
7755,2003.0,Touching the Void,"Documentary, Adventure, Drama",R,movie,8.1,106 min,Kevin Macdonald,"David Darlow (script writer), Joe Simpson (book)","Brendan Mackey, Nicholas Aaron, Richard Hawking, Joe Simpson",English,"UK, USA",6 wins & 10 nominations.,"27,133",tt0379557,3.0
7786,2003.0,The Station Agent,"Comedy, Drama",R,movie,7.7,89 min,Tom McCarthy,Tom McCarthy,"Peter Dinklage, Paul Benjamin, Jase Blankfort, Paula Garcés","English, Spanish",USA,Won 1 BAFTA Film Award. Another 28 wins & 31 nominations.,"58,611",tt0340377,3.0
7820,2002.0,Brown Sugar,"Romance, Comedy, Drama",PG-13,movie,6.5,109 min,Rick Famuyiwa,"Michael Elliot (story), Michael Elliot (screenplay), Rick Famuyiwa (screenplay)","Taye Diggs, Sanaa Lathan, Yasiin Bey, Nicole Ari Parker",English,USA,2 wins & 18 nominations.,"6,001",tt0297037,4.0
7882,2002.0,Blood Work,"Action, Crime, Drama",R,movie,6.4,110 min,Clint Eastwood,"Michael Connelly (novel), Brian Helgeland (screenplay)","Clint Eastwood, Jeff Daniels, Anjelica Huston, Wanda De Jesus","English, Spanish",USA,1 win.,"34,626",tt0309377,3.0
7904,2002.0,Punch-Drunk Love,"Comedy, Drama, Romance",R,movie,7.3,95 min,Paul Thomas Anderson,Paul Thomas Anderson,"Adam Sandler, Jason Andrews, Don McManus, Emily Watson",English,USA,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,"110,629",tt0272338,2.0
7911,2001.0,Bones,"Crime, Horror",R,movie,4.1,96 min,Ernest R. Dickerson,"Adam Simon, Tim Metcalfe","Snoop Dogg, Pam Grier, Michael T. Weiss, Clifton Powell","English, French, Spanish",USA,1 nomination.,"5,631",tt0166110,4.0
7928,2002.0,Antwone Fisher,"Biography, Drama",PG-13,movie,7.3,120 min,Denzel Washington,Antwone Fisher,"Derek Luke, Malcolm David Kelley, Cory Hodges, Denzel Washington","English, Japanese",USA,19 wins & 21 nominations.,"26,719",tt0168786,5.0
7971,2001.0,In the Bedroom,"Crime, Drama",R,movie,7.5,130 min,Todd Field,"Robert Festinger (screenplay), Todd Field (screenplay), Andre Dubus (story ""Killings"")","Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei","English, Serbo-Croatian",USA,Nominated for 5 Oscars. Another 38 wins & 69 nominations.,"32,594",tt0247425,3.0
7987,2003.0,Wrong Turn,"Horror, Thriller",R,movie,6.1,84 min,Rob Schmidt,Alan B. McElroy,"Desmond Harrington, Eliza Dushku, Emmanuelle Chriqui, Jeremy Sisto",English,"USA, Germany",3 nominations.,"88,330",tt0295700,4.0
7991,2003.0,The Hunted,"Action, Crime, Drama",R,movie,6.0,94 min,William Friedkin,"David Griffiths, Peter Griffiths, Art Monterastelli","Tommy Lee Jones, Benicio Del Toro, Connie Nielsen, Leslie Stefanson","English, Serbo-Croatian",USA,2 nominations.,"36,183",tt0269347,2.0
8014,2002.0,All About the Benjamins,"Action, Comedy, Crime",R,movie,5.8,95 min,Kevin Bray,"Ronald Lang, Ice Cube","Ice Cube, Mike Epps, Tommy Flanagan, Carmen Chaplin","English, French","USA, Germany",0,"9,791",tt0278295,4.0
8045,2003.0,Open Range,"Drama, Romance, Western",R,movie,7.5,139 min,Kevin Costner,"Lauran Paine (novel), Craig Storper (screenplay)","Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon",English,USA,1 win & 4 nominations.,"54,384",tt0316356,3.0
8333,2004.0,The Grudge,"Horror, Mystery, Thriller",PG-13,movie,5.9,91 min,Takashi Shimizu,"Stephen Susco (screenplay), Takashi Shimizu (film ""Ju-On: The Grudge"")","Sarah Michelle Gellar, Jason Behr, William Mapother, Clea DuVall","English, Japanese","USA, Japan",2 wins & 10 nominations.,"116,413",tt0391198,3.0
8387,2002.0,Minority Report,"Action, Mystery, Sci-Fi",PG-13,movie,7.7,145 min,Steven Spielberg,"Philip K. Dick (short story), Scott Frank (screenplay), Jon Cohen (screenplay)","Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough","English, Swedish",USA,Nominated for 1 Oscar. Another 18 wins & 76 nominations.,"404,745",tt0181689,3.0
8393,2004.0,Ladder 49,"Action, Drama, Thriller",PG-13,movie,6.5,115 min,Jay Russell,Lewis Colick,"Joaquin Phoenix, John Travolta, Jacinda Barrett, Robert Patrick",English,USA,1 win & 6 nominations.,"49,019",tt0349710,4.0
8483,2002.0,Showtime,"Action, Comedy, Crime",PG-13,movie,5.5,95 min,Tom Dey,"Jorge Saralegui (story), Keith Sharon (screenplay), Alfred Gough (screenplay), Miles Millar (screenplay)","Robert De Niro, Rachael Harris, Eddie Murphy, Zaid Farid",English,"USA, Australia",2 wins & 5 nominations.,"52,834",tt0284490,3.0
8511,1958.0,The Long,Drama,NOT RATED,movie,7.5,115 min,Martin Ritt,"William Faulkner (novel), Irving Ravetch (screenplay), Harriet Frank Jr. (screenplay)","Paul Newman, Joanne Woodward, Anthony Franciosa, Orson Welles",English,USA,2 wins & 4 nominations.,"7,583",tt0051878,3.0
8635,2004.0,Mr. 3000,"Comedy, Drama, Romance",PG-13,movie,5.5,104 min,Charles Stone III,"Eric Champnella (story), Keith Mitchell (story), Eric Champnella (screenplay), Keith Mitchell (screenplay), Howard Michael Gould (screenplay)","Bernie Mac, Angela Bassett, Michael Rispoli, Brian White",English,USA,1 win & 5 nominations.,"12,181",tt0339412,4.0
8687,2002.0,Star Wars: Episode II: Attack of the Clones,"Action, Adventure, Fantasy",PG,movie,6.7,142 min,George Lucas,"George Lucas (screenplay), Jonathan Hales (screenplay), George Lucas (story by)","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee",English,USA,Nominated for 1 Oscar. Another 16 wins & 53 nominations.,"469,134",tt0121765,3.0
8743,2002.0,Ice Age,"Animation, Adventure, Comedy",PG,movie,7.6,81 min,"Chris Wedge, Carlos Saldanha","Michael J. Wilson (story), Michael Berg (screenplay), Michael J. Wilson (screenplay), Peter Ackerman (screenplay), James Bresnahan (additional story), Doug Compton (additional story), Mike Thurmeier (additional story), Jeff Siergey (additional story), Galen T. Chu (additional story), Xeth Feinberg (additional story)","Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic",English,USA,Nominated for 1 Oscar. Another 5 wins & 28 nominations.,"332,684",tt0268380,3.0
8782,2001.0,The Royal Tenenbaums,"Comedy, Drama",R,movie,7.6,110 min,Wes Anderson,"Wes Anderson, Owen Wilson","Gene Hackman, Anjelica Huston, Ben Stiller, Gwyneth Paltrow","English, Italian",USA,Nominated for 1 Oscar. Another 10 wins & 45 nominations.,"211,048",tt0265666,3.0
8808,2001.0,Brotherhood of the Wolf,"Action, Adventure, Drama",R,movie,7.1,142 min,Christophe Gans,"Stéphane Cabel (original scenario), Stéphane Cabel (adaptation), Christophe Gans (adaptation)","Samuel Le Bihan, Mark Dacascos, Jérémie Renier, Vincent Cassel","French, German, Italian",France,4 wins & 22 nominations.,"52,435",tt0237534,4.0
8809,2002.0,Star Trek: Nemesis,"Action, Adventure, Sci-Fi",PG-13,movie,6.4,116 min,Stuart Baird,"Gene Roddenberry (television series Star Trek), John Logan (story), Rick Berman (story), Brent Spiner (story), John Logan (screenplay)","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",English,USA,1 win & 4 nominations.,"59,347",tt0253754,1.0
8954,2002.0,The Rookie,"Drama, Family, Sport",G,movie,7.0,127 min,John Lee Hancock,Mike Rich,"Dennis Quaid, Rachel Griffiths, Jay Hernandez, Beth Grant",English,USA,5 wins & 4 nominations.,"26,677",tt0265662,4.0
9136,2001.0,Charlotte Gray,"Drama, Romance, Thriller",PG-13,movie,6.4,121 min,Gillian Armstrong,"Sebastian Faulks (novel), Jeremy Brock (screenplay)","Cate Blanchett, James Fleet, Abigail Cruttenden, Charlotte McDougall",English,"UK, Australia, Germany",5 nominations.,"9,050",tt0245046,4.0
9156,2002.0,Dragonfly,"Drama, Fantasy, Mystery",PG-13,movie,6.1,104 min,Tom Shadyac,"Brandon Camp (story), Mike Thompson (story), David Seltzer (screenplay), Brandon Camp (screenplay), Mike Thompson (screenplay)","Kevin Costner, Susanna Thompson, Joe Morton, Ron Rifkin","English, Spanish","USA, Germany",1 nomination.,"31,976",tt0259288,3.0
9340,2001.0,Pearl Harbor,"Action, Drama, History",PG-13,movie,6.1,183 min,Michael Bay,Randall Wallace,"Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott","English, Japanese, French",USA,Won 1 Oscar. Another 11 wins & 50 nominations.,"256,780",tt0213149,3.0
9415,2005.0,Are We There Yet?,"Adventure, Comedy, Family",PG,movie,4.6,95 min,Brian Levant,"Steven Gary Banks (story), Claudia Grazioso (story), Steven Gary Banks (screenplay), Claudia Grazioso (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay)","Ice Cube, Nia Long, Aleisha Allen, Philip Bolden",English,"USA, Canada",1 win & 8 nominations.,"22,800",tt0368578,4.0
9542,2001.0,Lantana,"Drama, Mystery, Romance",R,movie,7.4,121 min,Ray Lawrence,"Andrew Bovell (play), Andrew Bovell (screenplay)","Anthony LaPaglia, Geoffrey Rush, Barbara Hershey, Kerry Armstrong",English,"Australia, Germany",36 wins & 22 nominations.,"16,564",tt0259393,2.0
9623,2002.0,On the Edge,Action,R,movie,4.8,97 min,Fred Williamson,Linda Williamson,"Fred Williamson, Gary Busey, Bernie Casey, Jim Brown",English,USA,0,99,tt0381469,2.0
9629,2002.0,Stranded,"Adventure, Drama",,movie,6.6,120 min,Charles Beeson,"Johann David Wyss (novel), Anton Diether (adaptation), Greg Dinner (teleplay), Dominic Minghella (teleplay), Chris Harrald (teleplay)","Liam Cunningham, Brana Bajic, Roger Allam, Jesse Spencer",English,USA,0,547,tt0286989,3.0
9756,2002.0,Mr. Deeds,"Comedy, Romance",PG-13,movie,5.8,96 min,Steven Brill,"Clarence Budington Kelland (short story ""Opera Hat""), Robert Riskin (film Mr. Deeds Goes to Town), Tim Herlihy (screenplay)","Adam Sandler, Winona Ryder, John Turturro, Allen Covert",English,USA,4 wins & 7 nominations.,"111,741",tt0280590,3.0
9768,2003.0,Basic,"Action, Crime, Drama",R,movie,6.5,98 min,John McTiernan,James Vanderbilt,"John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly",English,"Germany, USA",3 nominations.,"50,445",tt0264395,3.0
9800,2001.0,Shallow Hal,"Comedy, Drama, Fantasy",PG-13,movie,5.9,114 min,"Bobby Farrelly, Peter Farrelly","Sean Moynihan, Peter Farrelly, Bobby Farrelly","Gwyneth Paltrow, Jack Black, Jason Alexander, Joe Viterelli",English,"USA, Germany",3 nominations.,"110,402",tt0256380,3.0
9960,1988.0,Die Hard,"Action, Thriller",R,movie,8.2,131 min,John McTiernan,"Roderick Thorp (novel), Jeb Stuart (screenplay), Steven E. de Souza (screenplay)","Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason","English, German, Italian",USA,Nominated for 4 Oscars. Another 6 wins & 2 nominations.,"599,179",tt0095016,3.0
9991,2001.0,Waking Life,"Animation, Drama, Fantasy",R,movie,7.8,99 min,Richard Linklater,Richard Linklater,"Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins, Glover Gill",English,USA,5 wins & 20 nominations.,"49,739",tt0243017,5.0
10036,2004.0,Chris Rock: Never Scared,"Documentary, Comedy",,movie,8.1,80 min,Joel Gallen,Chris Rock,"Chris Rock, Dionicio Chambers, Doug E. Fresh",English,USA,Nominated for 2 Primetime Emmys. Another 3 nominations.,"4,048",tt0405832,3.0
10275,2004.0,The Girl Next Door,"Comedy, Drama, Romance",R,movie,6.8,108 min,Luke Greenfield,"David Wagner (story), Brent Goldberg (story), Stuart Blumberg (screenplay), David Wagner (screenplay), Brent Goldberg (screenplay)","Emile Hirsch, Elisha Cuthbert, Timothy Olyphant, James Remar",English,USA,2 wins & 4 nominations.,"172,567",tt0265208,4.0
10413,2002.0,Clockstoppers,"Action, Adventure, Comedy",PG,movie,5.2,94 min,Jonathan Frakes,"Rob Hedden (story), Andy Hedden (story), J. David Stem (story), David N. Weiss (story), Rob Hedden (screenplay), J. David Stem (screenplay), David N. Weiss (screenplay)","Jesse Bradford, French Stewart, Paula Garcés, Michael Biehn",English,USA,0,"11,295",tt0157472,3.0
10550,2003.0,Cold Mountain,"Adventure, Drama, History",R,movie,7.2,154 min,Anthony Minghella,"Charles Frazier (book), Anthony Minghella (screenplay)","Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins",English,"USA, UK, Romania, Italy",Won 1 Oscar. Another 17 wins & 92 nominations.,"119,090",tt0159365,4.0
10596,2003.0,National Security,"Action, Comedy, Crime",PG-13,movie,5.6,88 min,Dennis Dugan,"Jay Scherick, David Ronn","Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke",English,USA,0,"39,389",tt0271668,5.0
10607,2002.0,We Were Soldiers,"Action, Drama, History",R,movie,7.1,138 min,Randall Wallace,"Harold G. Moore (book), Joseph L. Galloway (book), Randall Wallace (screenplay)","Mel Gibson, Madeleine Stowe, Greg Kinnear, Sam Elliott","English, Vietnamese, French","USA, Germany",2 wins & 5 nominations.,"104,364",tt0277434,3.0
10625,2002.0,Windtalkers,"Action, Drama, War",R,movie,6.0,134 min,John Woo,"John Rice, Joe Batteer","Nicolas Cage, Adam Beach, Peter Stormare, Noah Emmerich","English, Navajo, Japanese",USA,3 wins & 4 nominations.,"56,409",tt0245562,3.0
10685,2002.0,Hey Arnold! The Movie,"Animation, Adventure, Comedy",PG,movie,5.9,76 min,Tuck Tucker,"Craig Bartlett (characters), Craig Bartlett, Steve Viksten","Spencer Klein, Francesca Marie Smith, Jamil Walker Smith, Dan Castellaneta",English,USA,1 nomination.,"4,596",tt0314166,3.0
10730,2002.0,Gangs of New York,"Crime, Drama",R,movie,7.5,167 min,Martin Scorsese,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent","English, Irish, Chinese, Latin","USA, Italy",Nominated for 10 Oscars. Another 47 wins & 117 nominations.,"315,905",tt0217505,4.0
10892,2001.0,The Unsaid,"Crime, Drama, Mystery",R,movie,6.7,111 min,Tom McLoughlin,"Christopher Murphey (story), Miguel Tejada-Flores (screenplay), Scott A. Williams (screenplay)","Andy Garcia, Trevor Blumas, Chelsea Field, Linda Cardellini",English,"Canada, USA",1 win & 1 nomination.,"5,381",tt0258967,4.0
10894,2001.0,Ali,"Biography, Drama, Sport",R,movie,6.8,157 min,Michael Mann,"Gregory Allen Howard (story), Stephen J. Rivele (screenplay), Christopher Wilkinson (screenplay), Eric Roth (screenplay), Michael Mann (screenplay)","Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles","English, French",USA,Nominated for 2 Oscars. Another 10 wins & 25 nominations.,"79,546",tt0248667,2.0
10947,2004.0,The Incredibles,"Animation, Action, Adventure",PG,movie,8.0,115 min,Brad Bird,Brad Bird,"Craig T. Nelson, Holly Hunter, Samuel L. Jackson, Jason Lee","English, French",USA,Won 2 Oscars. Another 59 wins & 53 nominations.,"484,667",tt0317705,4.0
10962,2002.0,Rollerball,"Action, Sci-Fi, Sport",R,movie,3.0,98 min,John McTiernan,"William Harrison (short story ""Roller Ball Murder""), William Harrison, Larry Ferguson (screenplay), John Pogue (screenplay)","Chris Klein, Jean Reno, LL Cool J, Rebecca Romijn","English, Russian, French, Arabic, Korean, German, Japanese","USA, Germany, Japan",2 wins & 4 nominations.,"22,345",tt0246894,3.0
11022,2004.0,Fahrenheit 9/11,"Documentary, Drama, War",R,movie,7.5,122 min,Michael Moore,Michael Moore,"Ben Affleck, Stevie Wonder, George W. Bush, James Baker III","English, Arabic",USA,29 wins & 15 nominations.,"113,924",tt0361596,3.0
11077,2004.0,Meet the Fockers,"Comedy, Romance",PG-13,movie,6.3,115 min,Jay Roach,"Greg Glienna (characters), Mary Ruth Clarke (characters), Jim Herzfeld (story), Marc Hyman (story), Jim Herzfeld (screenplay), John Hamburg (screenplay)","Robert De Niro, Ben Stiller, Dustin Hoffman, Barbra Streisand","English, Spanish, Hebrew",USA,2 wins & 6 nominations.,"212,060",tt0290002,4.0
11110,2001.0,Down to Earth,"Comedy, Fantasy",PG-13,movie,5.4,87 min,"Chris Weitz, Paul Weitz","Elaine May, Warren Beatty, Chris Rock (screenplay), Lance Crouther (screenplay), Ali LeRoi (screenplay), Louis C.K. (screenplay)","Chris Rock, Regina King, Chazz Palminteri, Eugene Levy",English,"USA, Germany, Canada, Australia",3 nominations.,"19,156",tt0231775,3.0
11132,2003.0,The Texas Chainsaw Massacre,Horror,R,movie,6.2,98 min,Marcus Nispel,"Kim Henkel, Tobe Hooper, Scott Kosar (screenplay)","Jessica Biel, Jonathan Tucker, Erica Leerhsen, Mike Vogel",English,USA,4 wins & 14 nominations.,"109,413",tt0324216,3.0
11182,2003.0,Master and Commander: The Far Side of the World,"Action, Adventure, Drama",PG-13,movie,7.4,138 min,Peter Weir,"Patrick O'Brian (novels), Peter Weir (screenplay), John Collee (screenplay)","Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall","English, French, Portuguese",USA,Won 2 Oscars. Another 21 wins & 80 nominations.,"169,568",tt0311113,3.0
11256,2003.0,Malibu's Most Wanted,"Comedy, Crime",PG-13,movie,5.1,86 min,John Whitesell,"Fax Bahr, Adam Small, Jamie Kennedy, Nick Swardson","Jamie Kennedy, Taye Diggs, Anthony Anderson, Regina Hall",English,USA,3 nominations.,"16,022",tt0328099,3.0
11286,1994.0,White Fang 2: Myth of the White Wolf,"Adventure, Family",PG,movie,5.4,106 min,Ken Olin,David Fallon,"Scott Bairstow, Charmaine Craig, Al Harrington, Anthony Ruivivar",English,USA,0,"1,659",tt0111701,5.0
11323,2003.0,Shanghai Knights,"Action, Adventure, Comedy",PG-13,movie,6.2,114 min,David Dobkin,"Alfred Gough (characters), Miles Millar (characters), Alfred Gough, Miles Millar","Jackie Chan, Owen Wilson, Aaron Taylor-Johnson, Tom Fisher","English, Mandarin","USA, Hong Kong",4 nominations.,"82,416",tt0300471,3.0
11478,2003.0,Biker Boyz,"Action, Drama",PG-13,movie,4.6,110 min,Reggie Rock Bythewood,"Michael Gougis (article), Craig Fernandez, Reggie Rock Bythewood","Laurence Fishburne, Derek Luke, Orlando Jones, Djimon Hounsou",English,USA,0,"11,076",tt0326769,2.0
